user_id,dominant_topic,number_of_interactions,correct_number,accuracy
u100580,0,2,1,0.5
u100580,1,1,1,1.0
u100580,2,2,1,0.5
u100580,3,2,1,0.5
u100580,4,1,0,0.0
u100580,5,1,0,0.0
u100580,6,5,2,0.4
u100580,8,2,0,0.0
u100580,9,1,0,0.0
u100580,10,6,2,0.3333333333333333
u100580,11,1,0,0.0
u100580,12,6,2,0.3333333333333333
u100580,13,1,0,0.0
u100580,14,2,0,0.0
u100580,15,1,1,1.0
u100580,17,6,0,0.0
u100580,19,2,0,0.0
u101409,0,2,1,0.5
u101409,1,1,1,1.0
u101409,2,2,2,1.0
u101409,3,2,1,0.5
u101409,4,1,0,0.0
u101409,5,1,1,1.0
u101409,8,2,1,0.5
u101409,9,1,0,0.0
u101409,10,4,1,0.25
u101409,11,1,0,0.0
u101409,12,3,1,0.3333333333333333
u101409,13,1,1,1.0
u101409,14,2,1,0.5
u101409,17,5,2,0.4
u101409,19,2,1,0.5
u102852,0,2,1,0.5
u102852,1,1,0,0.0
u102852,2,2,2,1.0
u102852,3,2,2,1.0
u102852,4,1,1,1.0
u102852,5,1,0,0.0
u102852,8,2,1,0.5
u102852,9,1,1,1.0
u102852,10,4,2,0.5
u102852,11,1,0,0.0
u102852,12,3,1,0.3333333333333333
u102852,13,1,1,1.0
u102852,14,2,0,0.0
u102852,17,5,3,0.6
u102852,19,2,0,0.0
u106217,12,1,1,1.0
u106217,14,2,1,0.5
u106643,0,2,0,0.0
u106643,1,1,1,1.0
u106643,2,2,2,1.0
u106643,3,3,3,1.0
u106643,4,2,2,1.0
u106643,5,1,1,1.0
u106643,6,1,1,1.0
u106643,7,2,2,1.0
u106643,8,5,5,1.0
u106643,9,2,2,1.0
u106643,10,5,4,0.8
u106643,11,1,0,0.0
u106643,12,8,5,0.625
u106643,13,1,1,1.0
u106643,14,2,0,0.0
u106643,15,1,1,1.0
u106643,17,6,4,0.6666666666666666
u106643,18,2,1,0.5
u106643,19,3,2,0.6666666666666666
u108294,12,1,1,1.0
u108294,14,2,1,0.5
u108294,17,1,0,0.0
u108434,12,1,1,1.0
u108501,0,2,2,1.0
u108501,1,1,0,0.0
u108501,2,2,0,0.0
u108501,3,2,1,0.5
u108501,4,1,1,1.0
u108501,5,1,0,0.0
u108501,8,2,1,0.5
u108501,9,1,0,0.0
u108501,10,4,1,0.25
u108501,11,1,0,0.0
u108501,12,3,1,0.3333333333333333
u108501,13,1,1,1.0
u108501,14,2,1,0.5
u108501,17,5,2,0.4
u108501,19,2,0,0.0
u108728,0,4,4,1.0
u108728,1,7,3,0.42857142857142855
u108728,2,3,0,0.0
u108728,3,2,1,0.5
u108728,4,1,0,0.0
u108728,5,1,0,0.0
u108728,8,2,1,0.5
u108728,9,2,1,0.5
