user_id,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,cluster
u100580,0.5,1.0,0.5,0.5,0.0,0.0,0.4,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
u101409,0.5,1.0,1.0,0.5,0.0,1.0,0.0,0.0,0.5,0.0,0.25,0.0,0.3333333333333333,1.0,0.5,0.0,0.0,0.4,0.0,0.5,3
u102852,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0,0.5,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.6,0.0,0.0,3
u106217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1
u106643,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.0,0.625,1.0,0.0,1.0,0.0,0.6666666666666666,0.5,0.6666666666666666,2
u108294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1
u108434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
u108501,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.3333333333333333,1.0,0.5,0.0,0.0,0.4,0.0,0.0,3
u108728,1.0,0.4285714285714285,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.25,1.0,0.625,1.0,0.5,0.0,0.0,0.4,0.0,0.6666666666666666,3
u109699,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.0,1
u109908,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.2,0.0,0.0,1
